Biomass,Import_SRC,Planters (Miscanthus),Planters (Willows/Poplar (SRC)),Domestic_Extraction (SRC),,,,,,,,,,,,,,,,,,,,,
2000,7803.1,335,373,57231.6,,,,,,,,,,,,,,,Regression,,,,,,
2001,7860.76,394,381,58495,,,,,,,,,,,,,,,Regression Model,Logarithmic,,,,,
2002,8027.628,404,251,57164.3,,,Regression,,,,,,,,,,,,,,,,,,
2003,8238.9224,398,228,54168.6,,,Regression Model,Linear,,,,,,,,,,,LINEST raw output,,,,,,
2004,8410.85792,422,186,53119.1,,,,,,,,,,,,,,,-332.653027931046,-12972.5918588294,19708.4647721317,-43411.5961577609,,,
2005,8503.686336,393,230,53623.2,,,LINEST raw output,,,,,,,,,,,,4115.03852893999,2644.40904835464,2404.32114201955,32255.0064949905,,,
2006,8405.4290688,569,182,50979.6,,,-0.404099556648138,-23.042080562489,1.84021565643235,48467.3177111662,,,,,,,,,0.616168838982149,4116.92862849828,#N/A,#N/A,,,
2007,8306.54325504,409,361,50698.1,,,13.9229462570489,4.51758471413189,0.216055665510481,5310.41782487893,,,,,,,,,25.1498908663942,47,#N/A,#N/A,,,
2008,7923.214604032,361,437,49759.7,,,0.642958546242727,3970.65856889437,#N/A,#N/A,,,,,,,,,1278804146.36099,796607762.610991,#N/A,#N/A,,,
2009,7492.6116832256,787,379,49738.6,,,28.2124585771974,47,#N/A,#N/A,,,,,,,,,,,,,,,
2010,7330.08934658048,767,305,49049.3,,,1334403823.84747,741008085.124512,#N/A,#N/A,,,,,,,,,Regression Statistics,,,,,,
2011,7210.83147726438,731,271,47825.7,,,,,,,,,,,,,,,R^2,0.616168838982149,,,,,
2012,7219.02518181151,708,306,48053.3,,,Regression Statistics,,,,,,,,,,,,Standard Error,4116.92862849828,,,,,
2013,7695.98014544921,513.692307692308,299.230769230769,43643.8,,,R^2,0.642958546242727,,,,,,,,,,,Count of X variables,3,,,,,
2014,8529.60411635937,708,306,48250.2,,,Standard Error,3970.65856889437,,,,,,,,,,,Observations,51,,,,,
2015,9427.12329308749,513.692307692308,299.230769230769,51535.8,,,Count of X variables,3,,,,,,,,,,,Adjusted R^2,0.591668977640584,,,,,
2016,10341.99863447,708,306,48651.8,,,Observations,51,,,,,,,,,,,,,,,,,
2017,11050.538907576,513.692307692308,299.230769230769,49757.7,,,Adjusted R^2,0.620168666215667,,,,,,,,,,,Analysis of Variance (ANOVA),,,,,,
2018,11855.2311260608,708,306,50189.5,,,,,,,,,,,,,,,,df,SS,MS,F,Significance F,
2019,12800.1449008486,513.692307692308,299.230769230769,51584.4,,,Analysis of Variance (ANOVA),,,,,,,,,,,,Regression,3,1278804146.36099,426268048.786997,25.1498908663942,0.00000000074540053207,
2020,13447.8759206789,708,306,51092,,,,df,SS,MS,F,Significance F,,,,,,,Residual,47,796607762.610991,16949101.3321487,,,
2021,14162.5807365431,513.692307692308,299.230769230769,56498.7,,,Regression,3,1334403823.84747,444801274.615823,28.2124585771974,0.00000000013888161462,,,,,,,Total,50,2075411908.97198,,,,
2022,13398.08004378,708,306,58848.2,,,Residual,47,741008085.124512,15766129.4707343,,,,,,,,,,,,,,,
2023,14122.744035024,513.692307692308,299.230769230769,59393.9,,,Total,50,2075411908.97198,,,,,,,,,,Confidence level,0.95,,,,,
2024,13366.2106825646,708,306,58299.5,,,,,,,,,,,,,,,,,,,,,
2025,14097.2485460517,513.692307692308,299.230769230769,60251.9,,,Confidence level,0.95,,,,,,,,,,,,Coefficients,Standard Error,t-Statistic,P-value,Lower 95%,Upper 95%
2026,13345.8142913868,708,306,61696.8,,,,,,,,,,,,,,,Intercept,-43411.5961577609,32255.0064949905,-1.34588706917492,0.184795471282947,-108300.29949435,21477.1071788284
2027,14080.9314331095,513.692307692308,299.230769230769,63141.7,,,,Coefficients,Standard Error,t-Statistic,P-value,Lower 95%,Upper 95%,,,,,,LN(X1),19708.4647721317,2404.32114201955,8.19710163825171,0.00000000012958570054,14871.5945227139,24545.3350215495
2028,13332.760601033,708,306,64586.6,,,Intercept,48467.3177111662,5310.41782487893,9.12683696640596,0.00000000000561091408,37784.1350280245,59150.5003943079,,,,,,LN(X2),-12972.5918588294,2644.40904835464,-4.90566762615677,0.0000115641714973346,-18292.456676278,-7652.72704138076
2029,14070.4884808264,513.692307692308,299.230769230769,66031.5,,,X1,1.84021565643235,0.216055665510481,8.51732192296101,0.00000000004353142671,1.40556772090407,2.27486359196063,,,,,,LN(X3),-332.653027931046,4115.03852893999,-0.0808383750459649,0.935913744482102,-8611.04275215856,7945.73669629647
2030,13324.4062392066,708,306,54112.0033333333,,,X2,-23.042080562489,4.51758471413189,-5.10053092981497,0.00000598319170109758,-32.1302887561144,-13.9538723688636,,,,,,,,,,,,
2031,14063.8049913653,513.692307692308,299.230769230769,66031.5,,,X3,-0.404099556648138,13.9229462570489,-0.0290239974490708,0.976968346506712,-28.4134546124357,27.6052554991395,,,,,,X1,X2,X3,Predicted Y,Y,Residual,
2032,13319.0594476377,708,306,54112.0033333333,,,,,,,,,,,,,,,7803.1,335,373,55826.9385562208,57231.6,1404.66144377916,
2033,14059.5275581101,513.692307692308,299.230769230769,66031.5,,,X1,X2,X3,Predicted Y,Y,Residual,,,,,,,7860.76,394,381,53860.558316232,58495,4634.44168376801,
2034,13315.6375010336,708,306,54112.0033333333,,,7803.1,335,373,54956.8783768099,57231.6,2274.72162319013,,,,,,,8027.628,404,251,54088.2372691598,57164.3,3076.06273084018,
