Biomass,Straw,Willow,Miscanthus
2009-2014,264307,12546.5,35586.8
2015-2020,674706.814814815,15727.1363636364,41789.7
2021-2026,699215.444444445,10738.4090909091,36050.6
2027-2032,699215.444444445,10738.4090909091,36050.6
2033-2038,699215.444444445,10738.4090909091,36050.6
2039-2044,699215.444444445,10738.4090909091,36050.6
2045-2050,699215.444444445,10738.4090909091,36050.6
